@relation text_classification

@attribute 之 real
@attribute 其 real
@attribute 或 real
@attribute 亦 real
@attribute 方 real
@attribute 于 real
@attribute 即 real
@attribute 皆 real
@attribute 因 real
@attribute 仍 real
@attribute 故 real
@attribute 尚 real
@attribute 呢 real
@attribute 了 real
@attribute 的 real
@attribute 着 real
@attribute 一 real
@attribute 不 real
@attribute 乃 real
@attribute 呀 real
@attribute 吗 real
@attribute 咧 real
@attribute 啊 real
@attribute 把 real
@attribute 让 real
@attribute 向 real
@attribute 往 real
@attribute 是 real
@attribute 在 real
@attribute 越 real
@attribute 再 real
@attribute 更 real
@attribute 比 real
@attribute 很 real
@attribute 偏 real
@attribute 别 real
@attribute 好 real
@attribute 可 real
@attribute 便 real
@attribute 就 real
@attribute 但 real
@attribute 儿 real
@attribute 又 real
@attribute 也 real
@attribute 都 real
@attribute 要 real
@attribute 这 real
@attribute 那 real
@attribute 你 real
@attribute 我 real
@attribute 他 real
@attribute 来 real
@attribute 去 real
@attribute 道 real
@attribute 说 real
@attribute classification {0,1,2}

@data
0.000000,0.000510,0.000000,0.000510,0.000765,0.000000,0.000000,0.001020,0.004843,0.000765,0.000000,0.000000,0.001784,0.047923,0.030844,0.005098,0.014020,0.006118,0.000255,0.000000,0.000000,0.000000,0.000000,0.003059,0.001529,0.001020,0.000765,0.012745,0.004079,0.000000,0.002294,0.000255,0.000255,0.000000,0.000510,0.000765,0.001784,0.000765,0.008412,0.006118,0.000000,0.001784,0.008922,0.011981,0.004843,0.003824,0.011471,0.005608,0.010961,0.013000,0.015294,0.007392,0.007902,0.006882,0.008922,0
0.000220,0.000439,0.000000,0.000220,0.001317,0.000220,0.000000,0.000220,0.001976,0.000220,0.000220,0.000220,0.002854,0.040395,0.035565,0.006367,0.010977,0.009221,0.000220,0.000000,0.000000,0.000000,0.000000,0.002195,0.000220,0.001537,0.000220,0.010757,0.004171,0.000000,0.001537,0.001098,0.002634,0.000000,0.000000,0.000439,0.001976,0.000878,0.002195,0.005488,0.000220,0.002415,0.013611,0.012953,0.003952,0.004171,0.006586,0.003293,0.024588,0.026564,0.013392,0.009001,0.007464,0.005708,0.011855,0
0.003069,0.000472,0.000000,0.000472,0.000708,0.000000,0.000000,0.000708,0.003777,0.000472,0.000236,0.000236,0.003777,0.040840,0.025968,0.007082,0.013220,0.004013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000944,0.000236,0.000472,0.002125,0.011331,0.004249,0.000472,0.001653,0.001653,0.001180,0.000236,0.000472,0.000472,0.003541,0.000944,0.005194,0.003541,0.000236,0.002125,0.011331,0.010387,0.004721,0.003069,0.010623,0.002833,0.009915,0.012276,0.012984,0.010151,0.007554,0.007082,0.009443,0
0.004970,0.000621,0.001450,0.002278,0.001035,0.000621,0.000000,0.004556,0.002071,0.000414,0.000414,0.000000,0.001242,0.031269,0.021329,0.008905,0.011182,0.004349,0.000207,0.000000,0.000000,0.000000,0.000000,0.000621,0.000828,0.001450,0.000000,0.009112,0.004763,0.000000,0.001450,0.000207,0.001035,0.000207,0.000207,0.000414,0.001242,0.000828,0.006627,0.002485,0.000000,0.000207,0.009112,0.006212,0.002899,0.001864,0.007041,0.001864,0.007248,0.006005,0.005798,0.008076,0.005384,0.003935,0.007041,0
0.001815,0.000302,0.000151,0.000605,0.001059,0.000151,0.000000,0.000907,0.003932,0.000302,0.000756,0.000151,0.003479,0.042952,0.027374,0.003327,0.009226,0.006201,0.000000,0.000151,0.000000,0.000000,0.000000,0.002117,0.000302,0.000756,0.000605,0.010889,0.005142,0.000302,0.001361,0.001059,0.001210,0.000605,0.000756,0.000907,0.003025,0.000907,0.007108,0.004688,0.000454,0.002269,0.009982,0.013158,0.004840,0.003176,0.009226,0.002117,0.022232,0.020115,0.021476,0.009831,0.011192,0.007864,0.014217,0
0.000742,0.000000,0.000495,0.000000,0.000495,0.000000,0.000000,0.000247,0.001732,0.000000,0.000000,0.000000,0.003217,0.046771,0.040089,0.003464,0.009156,0.006682,0.000247,0.000000,0.000000,0.000000,0.000000,0.001732,0.000742,0.000495,0.001237,0.009404,0.002722,0.000000,0.000495,0.000495,0.000000,0.000247,0.000742,0.002227,0.002970,0.000742,0.005692,0.005692,0.001237,0.007671,0.011878,0.011631,0.003712,0.005197,0.008414,0.001485,0.013116,0.020292,0.017817,0.008909,0.008414,0.003959,0.015343,0
0.001964,0.000000,0.001964,0.000491,0.000982,0.000000,0.000000,0.000491,0.002209,0.000245,0.000736,0.000000,0.002209,0.032155,0.030191,0.004418,0.010309,0.006627,0.000245,0.000000,0.000000,0.000000,0.000000,0.001718,0.000245,0.000245,0.000736,0.011782,0.005400,0.000982,0.000736,0.000000,0.000982,0.000245,0.000245,0.001227,0.003191,0.000245,0.007609,0.003436,0.000982,0.002946,0.006382,0.012764,0.003927,0.003191,0.007609,0.003436,0.011537,0.014973,0.026510,0.009818,0.006627,0.003191,0.013255,0
0.003091,0.001189,0.001427,0.002140,0.001902,0.000713,0.000238,0.001664,0.002140,0.000238,0.000238,0.000000,0.000713,0.040181,0.022349,0.004755,0.008797,0.008797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000713,0.000476,0.000238,0.001664,0.007133,0.005231,0.000238,0.002615,0.000476,0.001664,0.000238,0.000238,0.000476,0.004755,0.000238,0.006419,0.002615,0.000476,0.001664,0.014265,0.008559,0.003329,0.003804,0.004042,0.001902,0.011650,0.012839,0.018545,0.008084,0.009748,0.003091,0.017356,0
0.002987,0.000460,0.002987,0.000460,0.001379,0.000460,0.000460,0.001379,0.005055,0.000000,0.000000,0.000460,0.001379,0.027574,0.028952,0.003906,0.008732,0.009191,0.000460,0.000000,0.000000,0.000000,0.000000,0.001608,0.000230,0.000689,0.000919,0.014706,0.004825,0.000230,0.001379,0.000689,0.001379,0.000000,0.000919,0.000919,0.001379,0.000919,0.005285,0.005744,0.000689,0.002068,0.008042,0.010340,0.003906,0.005055,0.006893,0.002068,0.011489,0.014246,0.017233,0.008732,0.008732,0.007813,0.009881,0
0.004601,0.000317,0.000317,0.000952,0.001587,0.000159,0.000476,0.002380,0.007615,0.000476,0.001428,0.000000,0.001904,0.039822,0.031255,0.003332,0.009519,0.006188,0.000793,0.000000,0.000000,0.000000,0.000000,0.002063,0.000159,0.000793,0.000476,0.010154,0.005077,0.000635,0.003014,0.000635,0.001745,0.000000,0.000317,0.000635,0.005077,0.001111,0.003173,0.008250,0.001111,0.001428,0.012692,0.014279,0.003808,0.002697,0.009519,0.002063,0.012216,0.012058,0.015389,0.006188,0.011899,0.007298,0.009043,0
